SEZ2011,COMUNE,lat,lon,road_type,congestione_media,n_letture
150270000046,Bollate,45.54578,9.15076,Secondary road,0.8199999928474426,1
150770000310,Cinisello Balsamo,45.56757,9.20818,Connecting road,0.8059999942779541,1
150770000308,Cinisello Balsamo,45.56757,9.20818,Connecting road,0.8059999942779541,1
151460002842,Milano,45.39852,9.21074,Motorway,0.7709999978542328,1
150770000392,Cinisello Balsamo,45.56813,9.20312,Motorway,0.7539999932050705,1
150990000005,Dairago,45.56964,8.86256,Secondary road,0.69200000166893,1
150990000006,Dairago,45.56964,8.86256,Secondary road,0.69200000166893,1
151390000005,Mediglia,45.39428,9.32846,Minor local road,0.6500000059604645,1
151590000022,Opera,45.39305,9.21066,Secondary road,0.5699999928474426,1
151390000006,Mediglia,45.39778,9.33399,Local road,0.5195000022649765,2
150720000017,Cerro Maggiore,45.58703,8.97198,Connecting road,0.5189999938011169,1
151840000004,Robecco sul Naviglio,45.44063,8.88771,Secondary road,0.5160000026226044,1
150990000004,Dairago,45.56206,8.86497,Connecting road,0.43200000127156574,3
150700000003,Cernusco sul Naviglio,45.5238,9.32843,Connecting road,0.3815000057220459,2
150770000370,Cinisello Balsamo,45.57096,9.2093,Major local road,0.375,1
151060000002,Gessate,45.55992,9.4356,Secondary road,0.36266666650772095,3
151060000001,Gessate,45.55858,9.43529,Secondary road,0.35350000858306885,2
151840000003,Robecco sul Naviglio,45.43119,8.88799,Connecting road,0.31299999356269836,4
151030000093,Gaggiano,45.37969,9.02834,Connecting road,0.3019999861717224,1
150410000011,Busto Garolfo,45.54537,8.88847,Local road,0.24525000154972074,8
150990000002,Dairago,45.56937,8.86244,Secondary road,0.24249999225139612,4
151590000014,Opera,45.3962,9.21218,Minor local road,0.2369999885559082,1
151460002739,Milano,45.41408,9.23908,Connecting road,0.2369999885559082,1
150770000455,Cinisello Balsamo,45.5666,9.20889,Local road,0.2300000190734863,1
152360000001,Vernate,45.32953,9.04694,Major road,0.2289999723434448,1
150270000044,Bollate,45.5485,9.1399,Local road,0.2099999785423278,1
151660000079,Paderno Dugnano,45.56503,9.15653,Local road,0.2099999785423278,1
151390000001,Mediglia,45.40371,9.32587,Major local road,0.2039999961853027,1
151390000003,Mediglia,45.40371,9.32587,Major local road,0.2039999961853027,1
150990000001,Dairago,45.56818,8.86167,Secondary road,0.16166666150093076,6
151780000010,Pozzuolo Martesana,45.51824,9.46479,Connecting road,0.1399999856948852,1
151780000007,Pozzuolo Martesana,45.51824,9.46479,Connecting road,0.1399999856948852,1
150990000018,Dairago,45.56522,8.85732,Connecting road,0.0910000205039978,1
