SEZ2011,tile_x,tile_y,zoom
150220000002,4300,2936,13
150590000040,4312,2930,13
150220000001,4299,2936,13
150220000001,4300,2936,13
151390000012,4308,2933,13
150990000006,4297,2928,13
150990000004,4297,2928,13
151390000005,4308,2933,13
151390000005,4308,2934,13
151390000004,4308,2933,13
151830000004,4295,2929,13
151830000004,4295,2930,13
150990000005,4297,2928,13
152240000010,4311,2931,13
151060000002,4310,2928,13
151460002842,4305,2933,13
151460002842,4305,2934,13
152360000001,4301,2936,13
150770000370,4305,2928,13
150770000308,4305,2928,13
151830000005,4295,2929,13
151830000005,4295,2930,13
151590000014,4305,2934,13
150770000455,4305,2928,13
151590000013,4305,2934,13
151390000006,4308,2934,13
151590000022,4305,2934,13
150990000018,4297,2928,13
150770000392,4305,2928,13
151390000001,4308,2933,13
151060000024,4310,2928,13
151840000008,4298,2932,13
151780000006,4311,2930,13
152360000004,4302,2936,13
150270000046,4304,2929,13
151840000006,4298,2932,13
151840000003,4298,2932,13
151780000010,4311,2930,13
151030000093,4301,2934,13
150990000001,4297,2928,13
150770000393,4305,2928,13
150770000310,4305,2928,13
151660000079,4304,2928,13
151390000003,4308,2933,13
151840000004,4298,2932,13
151460002739,4306,2933,13
150270000044,4303,2929,13
150270000044,4304,2929,13
150410000011,4298,2929,13
150720000017,4300,2927,13
150720000017,4299,2927,13
150700000003,4308,2929,13
151060000001,4310,2928,13
150990000002,4297,2928,13
151460002738,4306,2933,13
151720000033,4309,2929,13
151780000007,4311,2930,13
