SEZ2011,COMUNE,gap_score,centroid_lat,centroid_lon
150220000002,Besate,0.8457837792598706,45.31263228595504,8.971293383403518
150590000040,Cassano d'Adda,0.8090312749814579,45.50603974704459,9.530568738041758
150220000001,Besate,0.8066359409766615,45.312246546415736,8.967317634092902
151390000012,Mediglia,0.8052276000196243,45.40007255265976,9.342663839575005
151390000004,Mediglia,0.7585618760948553,45.40250967281943,9.328890395344752
151830000004,Robecchetto con Induno,0.7553527057173448,45.521584921616366,8.776442369800943
152240000010,Truccazzano,0.7476905228465803,45.46513230307565,9.474614710321132
151830000005,Robecchetto con Induno,0.7359793597243346,45.522146170381305,8.781806299686869
151590000013,Opera,0.7339534266263019,45.39496462139278,9.213964479807213
151060000024,Gessate,0.7259449304054464,45.558122635713985,9.429429576662468
151840000008,Robecco sul Naviglio,0.7257111688941349,45.44021986514633,8.880949691323474
151780000006,Pozzuolo Martesana,0.7249463935793504,45.511716429838366,9.456791078752165
152360000004,Vernate,0.7248915606322527,45.315880740484744,9.060425592339335
151840000006,Robecco sul Naviglio,0.7230185825971769,45.43546169881621,8.882784156223575
150770000393,Cinisello Balsamo,0.714057724663571,45.56955348612766,9.205265704266225
151460002738,Milano,0.694095645975406,45.41592604858434,9.241359150886513
151720000033,Pessano con Bornago,0.6917868903081323,45.55016606749475,9.373259251890987
